timestamp,power_watts,cadence_rpm,speed_kmh,distance_m,heart_rate_bpm
2025-09-19T23:49:43.804811,0,,,,
2025-09-19T23:49:44.794692,0,,,,
2025-09-19T23:49:45.799466,0,,,,
2025-09-19T23:49:46.804603,27,,5.4,,
2025-09-19T23:49:47.794161,32,,6.4,,
2025-09-19T23:49:48.813991,41,,8.200000000000001,,
2025-09-19T23:49:49.804746,37,,7.4,,
2025-09-19T23:49:50.794870,23,,4.6000000000000005,,
2025-09-19T23:49:51.897871,17,,3.4000000000000004,,
2025-09-19T23:49:52.864662,9,,1.8,,
2025-09-19T23:49:53.839870,3,,0.6000000000000001,,
2025-09-19T23:49:54.814780,3,,0.6000000000000001,,
2025-09-19T23:49:55.984644,24,,4.800000000000001,,
2025-09-19T23:49:56.960008,34,,6.800000000000001,,
2025-09-19T23:49:57.934605,39,,7.800000000000001,,
2025-09-19T23:49:58.909878,38,,7.6000000000000005,,
2025-09-19T23:49:59.884848,38,,7.6000000000000005,,
2025-09-19T23:50:00.859684,37,,7.4,,
2025-09-19T23:50:01.835641,38,,7.6000000000000005,,
2025-09-19T23:50:02.809555,29,,5.800000000000001,,
2025-09-19T23:50:03.979912,19,,3.8000000000000003,,
2025-09-19T23:50:04.954789,9,,1.8,,
2025-09-19T23:50:05.929595,0,,,,
